"","logFC","AveExpr","t","P.Value","adj.P.Val","B","hu_gene_name"
"214979_at",-0.0863693940676769,3.27502381989808,-1.37095284370822,0.191931057211005,0.612421351366226,-5.17035862605765,"ABCC3"
"215848_at",0.0810857484783529,4.08285156372479,1.37090421312723,0.191945876048873,0.612421351366226,-5.17041783403508,"SCAPER"
"219733_s_at",-0.0747670343619695,7.54559860075866,-1.37068837710794,0.19201165742966,0.612421351366226,-5.17068059647834,"SLC27A5"
"217013_at",-0.12110874361632,3.26439686699296,-1.37055222014585,0.192053164099897,0.612421351366226,-5.17084634032911,"AZGP1P1"
"217429_at",-0.114893899163286,3.6168300791567,-1.37045332818766,0.192083315335046,0.612421351366226,-5.17096671375828,NA
"209928_s_at",0.069358087025724,3.29286596475236,1.37042162118796,0.192092983320731,0.612421351366226,-5.1710053068252,"MSC"
"215620_at",-0.104160161384491,3.4774741968463,-1.37032302166792,0.192123050472303,0.612421351366226,-5.1711253157283,"AL355336.1"
"220951_s_at",0.0812160974219958,4.00958535657758,1.37003762981346,0.19221010011885,0.612421351366226,-5.171472639588,"A1CF"
"202053_s_at",-0.0830901682658934,8.57247880491953,-1.36980956013683,0.192279688593325,0.612421351366226,-5.17175016296702,"ALDH3A2"
"221463_at",0.10284048361098,3.58111442597302,1.36977838261313,0.192289203055665,0.612421351366226,-5.17178809820663,"CCL24"
"202879_s_at",0.0753611566154742,7.79533777390356,1.36967191087091,0.192321697991238,0.612421351366226,-5.17191764277578,"CYTH1"
"204308_s_at",-0.10143875367838,4.78125326665499,-1.3695782233238,0.192350294923062,0.612421351366226,-5.17203162652095,"TECPR2"
"216116_at",0.0761497930967905,3.48310129088682,1.36926401022108,0.192446229792517,0.612421351366226,-5.17241386714528,NA
"221995_s_at",0.0886057737441277,5.42706545571122,1.3692412289046,0.192453186851779,0.612421351366226,-5.17244157808722,NA
"206466_at",0.090498977699509,3.35679807728699,1.36922290715126,0.192458782178698,0.612421351366226,-5.17246386421489,"ACSBG1"
"201712_s_at",-0.0838362554591526,7.58118253171108,-1.36917848508972,0.1924723488959,0.612421351366226,-5.1725178971834,"RANBP2"
"213445_at",-0.0587207794238088,5.58310731171246,-1.36886692297104,0.19256752342256,0.612421351366226,-5.17289683017331,"ZC3H3"
"211932_at",-0.0791791038717258,9.79842309335295,-1.36881202191723,0.192584298313392,0.612421351366226,-5.17296359609425,"HNRNPA3"
"220152_at",0.107322843389061,4.28166947657288,1.3687269217734,0.192610302821435,0.612421351366226,-5.17306708357052,"C10orf95"
"214020_x_at",0.124152993817547,3.45874859079799,1.36853327964723,0.192669485754522,0.612421351366226,-5.17330254738089,NA
"208774_at",0.0594812254904549,8.13619340659373,1.36848036763638,0.192685659855717,0.612421351366226,-5.1733668826678,"CSNK1D"
"204669_s_at",0.0910813800061095,6.74561397030612,1.36844899665121,0.192695249836072,0.612421351366226,-5.17340502551418,"RNF24"
"221940_at",-0.0780824251954891,7.11285989833901,-1.36810917025092,0.192799158299081,0.612421351366226,-5.17381816609736,"RPUSD2"
"214668_at",0.112857833543292,3.47292273501648,1.3680972198516,0.19280281319489,0.612421351366226,-5.17383269327567,"SPRYD7"
